time(in secs),dynamic density
251,0
251.2,0
251.4,0
251.6,0
251.8,0.0152529
252,0.0160289
252.2,0.0171918
252.4,0.0184788
252.6,0.0186855
252.8,0.019945
253,0.0432166
253.2,0.0538431
253.4,0.0578122
253.6,0.0739948
253.8,0.078443
254,0.0710265
254.2,0.0734806
254.4,0.0752033
254.6,0.0478959
254.8,0
255,0
255.2,0
255.4,0
255.6,0
255.8,0
256,0
256.2,0
256.4,0
256.6,0
256.8,0
257,0
257.2,0
257.4,0
257.6,0
257.8,0
258,0
258.2,0
258.4,0
258.6,0.016084
258.8,0.0188594
259,0.0192898
259.2,0
259.4,0
259.6,0
259.8,0.0240709
260,0.0319762
260.2,0.0263597
260.4,0.0292538
260.6,0.0260385
260.8,0.0223875
261,0.0242172
261.2,0.0174134
261.4,0.021004
261.6,0
261.8,0
262,0
262.2,0
262.4,0
262.6,0.0149805
262.8,0
263,0
263.2,0
263.4,0
263.6,0
263.8,0
264,0
264.2,0
264.4,0
264.6,0
264.8,0
265,0
265.2,0
265.4,0
265.6,0
265.8,0
266,0
266.2,0
266.4,0.0266862
266.6,0
266.8,0
267,0
267.2,0
267.4,0
267.6,0
267.8,0
268,0.031267
268.2,0
268.4,0
268.6,0
268.8,0
269,0
269.2,0
269.4,0
269.6,0
269.8,0
270,0
270.2,0
270.4,0
270.6,0
270.8,0
271,0
271.2,0
271.4,0.0160575
271.6,0
271.8,0
272,0
272.2,0
272.4,0
272.6,0.0160268
272.8,0.0171113
273,0
273.2,0.0370753
273.4,0.05042
273.6,0.0461488
273.8,0.082075
274,0.0458647
274.2,0.0652086
274.4,0.0604307
274.6,0.0320196
274.8,0.0303372
275,0
275.2,0.0864808
275.4,0.0866812
275.6,0.121442
275.8,0.150899
276,0.144044
276.2,0.116727
276.4,0.193439
276.6,0.17319
276.8,0.173096
277,0.206452
277.2,0.210753
277.4,0.230321
277.6,0.231302
277.8,0.196669
278,0.217793
278.2,0.193181
278.4,0.195354
278.6,0.203362
278.8,0.216217
279,0.210508
279.2,0.236046
279.4,0.24592
279.6,0.217452
279.8,0.202486
280,0.281606
280.2,0.337619
280.4,0.401811
280.6,0.482989
280.8,0.541671
281,0.520069
281.2,0.534773
281.4,0.482578
281.6,0.489845
281.8,0.489762
282,0.492883
282.2,0.485078
282.4,0.558152
282.6,0.55254
282.8,0.525568
283,0.539658
283.2,0.539128
283.4,0.564582
283.6,0.591986
283.8,0.581935
284,0.564602
284.2,0.561568
284.4,0.517506
284.6,0.450545
284.8,0.475456
285,0.499511
285.2,0.485321
285.4,0.560952
285.6,0.541404
285.8,0.537568
286,0.550654
286.2,0.592397
286.4,0.608881
286.6,0.634436
286.8,0.646148
287,0.652458
287.2,0.72913
287.4,0.729454
287.6,0.707218
287.8,0.68576
288,0.680116
288.2,0.662552
288.4,0.706122
288.6,0.709212
288.8,0.694398
289,0.690541
289.2,0.70657
289.4,0.656165
289.6,0.690365
289.8,0.647558
290,0.624967
290.2,0.633543
290.4,0.596602
290.6,0.618871
290.8,0.613958
291,0.453606
291.2,0.520229
291.4,0.472575
291.6,0.512222
291.8,0.549779
292,0.436395
292.2,0.489349
292.4,0.491713
292.6,0.54035
292.8,0.541137
293,0.567031
293.2,0.507571
293.4,0.481598
293.6,0.527048
293.8,0.544657
294,0.523758
294.2,0.422183
294.4,0.393179
294.6,0.424431
294.8,0.340004
295,0.450263
295.2,0.46269
295.4,0.478354
295.6,0.464494
295.8,0.515199
296,0.450032
296.2,0.484035
296.4,0.527313
296.6,0.535065
296.8,0.569883
297,0.566382
297.2,0.487498
297.4,0.490793
297.6,0.432478
297.8,0.541418
298,0.580233
298.2,0.543293
298.4,0.547485
298.6,0.408785
298.8,0.475593
299,0.505359
299.2,0.52439
299.4,0.483366
299.6,0.436912
299.8,0.450234
300,0.413851
300.2,0.462506
300.4,0.387316
300.6,0.475219
300.8,0.383924
301,0.5583
301.2,0.501555
301.4,0.482041
301.6,0.466373
301.8,0.483762
302,0.527953
302.2,0.515322
302.4,0.477797
302.6,0.459126
302.8,0.482016
303,0.479631
303.2,0.465254
303.4,0.518641
303.6,0.541556
303.8,0.555551
304,0.591585
304.2,0.599265
304.4,0.559976
304.6,0.558891
304.8,0.518872
305,0.606469
305.2,0.553649
305.4,0.583613
305.6,0.552306
305.8,0.570926
306,0.517367
306.2,0.505407
306.4,0.45206
306.6,0.453684
306.8,0.515791
307,0.479626
307.2,0.507417
307.4,0.493743
307.6,0.475176
307.8,0.447509
308,0.45252
308.2,0.46155
308.4,0.442491
308.6,0.429874
308.8,0.508308
309,0.503751
309.2,0.508087
309.4,0.489901
309.6,0.465217
309.8,0.460861
310,0.412558
310.2,0.440664
310.4,0.374714
310.6,0.383442
310.8,0.424054
311,0.382982
311.2,0.398069
311.4,0.351493
311.6,0.341381
311.8,0.378923
312,0.355782
312.2,0.354797
312.4,0.374287
312.6,0.370284
312.8,0.379739
313,0.371158
313.2,0.365678
313.4,0.358569
313.6,0.384819
313.8,0.366094
314,0.369137
314.2,0.393659
314.4,0.39296
314.6,0.392778
314.8,0.355922
315,0.410997
315.2,0.389277
315.4,0.43016
315.6,0.414123
315.8,0.364205
316,0.356718
316.2,0.332323
316.4,0.337138
316.6,0.33305
316.8,0.342151
317,0.346266
317.2,0.286883
317.4,0.271786
317.6,0.248747
317.8,0.222529
318,0.170954
318.2,0.15844
318.4,0.126029
318.6,0.0757747
318.8,0.0496938
319,0.0284131
319.2,0
319.4,0
319.6,0.0388234
319.8,0
320,0
320.2,0
320.4,0
320.6,0
320.8,0
321,0
321.2,0
321.4,0.0182149
321.6,0
321.8,0
322,0
322.2,0
322.4,0
322.6,0
322.8,0.0160437
323,0.0151204
323.2,0
323.4,0.0154215
323.6,0
323.8,0.0158179
324,0
324.2,0
324.4,0
324.6,0
324.8,0
325,0
325.2,0
325.4,0
325.6,0
325.8,0
326,0
326.2,0
326.4,0
326.6,0
326.8,0
327,0
327.2,0
327.4,0
327.6,0
327.8,0
328,0.0393016
328.2,0.0727725
328.4,0.0694437
328.6,0.112564
328.8,0.149424
329,0.147563
329.2,0.113073
329.4,0.133371
329.6,0.100639
329.8,0.167913
330,0.171315
330.2,0.155701
330.4,0.148932
330.6,0.105121
330.8,0.0870374
331,0.0624078
331.2,0.0759104
331.4,0.104121
331.6,0.108516
331.8,0.149234
332,0.168932
332.2,0.161471
332.4,0.168214
332.6,0.1878
332.8,0.19382
333,0.202086
333.2,0.18986
333.4,0.179315
333.6,0.146729
333.8,0.133607
334,0.117566
334.2,0.0840256
334.4,0.0543128
334.6,0.0252975
334.8,0.0173148
335,0.0285149
335.2,0.0330978
335.4,0.0347961
335.6,0.0348342
335.8,0.0366598
336,0.0423345
336.2,0.0502886
336.4,0.0466333
336.6,0.0598688
336.8,0.0911368
